keyword,date,video_mentions,top_channels
havmor,2025-08-28,10,All Assam boy ;Reveal it 🎁;angad dutta
havmor,2025-08-29,6,Abhishek Shukla;Sathishallinall;Karan Sodha
havmor,2025-08-30,5,Swaad Bharat ka;YogaGuruRaghuji;Satyaki Banerjee 3 
havmor,2025-08-31,4,ajay damani;vj vlogs;All Assam boy 
havmor,2025-09-01,4,MockTails Couple;glossy kitchen ;Sasmita's kitchen
havmor,2025-09-02,4,Havmor Ice Cream;Ranjana's View;glossy kitchen 
havmor,2025-09-03,0,
hetbahn,2025-08-28,0,
hetbahn,2025-08-29,0,
hetbahn,2025-08-30,0,
hetbahn,2025-08-31,0,
hetbahn,2025-09-01,0,
hetbahn,2025-09-02,0,
hetbahn,2025-09-03,0,
jin ramen,2025-08-28,7,K Trend Box;if_handameow;EMD888TV blog
jin ramen,2025-08-29,7,Jin Ramen by Otoki;food_injimin;Foodie cook Nishu
jin ramen,2025-08-30,5,Cath Official Vlog;Pyeoniverse;Jhope topic
jin ramen,2025-08-31,5,YUJÉ (유제);Ayu Hapsari;AudRea Lorenzo TV
jin ramen,2025-09-01,6,Bri;Glow with Moona 🌙;Stephanie Jen (Teppy)
jin ramen,2025-09-02,4,Lozzawayne;DailyBlossom;K-Taste Kitchen
jin ramen,2025-09-03,0,
jinro,2025-08-28,3,Colour Satisfying Art🎨;공버지FatherGong;Emma
jinro,2025-08-29,1,Nyan91
jinro,2025-08-30,1,Inventos da ana
jinro,2025-08-31,1,maxime richard studio (animation)
jinro,2025-09-01,2,Fave Beer;The Beer Guide
jinro,2025-09-02,0,
jinro,2025-09-03,0,
jongga,2025-08-28,3,Nicole Hoang;badabiang rani;RollinJoint
jongga,2025-08-29,1,bazachi. com
jongga,2025-08-30,1,Noodle&Cat
jongga,2025-08-31,2,권영;Life_H
jongga,2025-09-01,0,
jongga,2025-09-02,1,Burns Campbell
jongga,2025-09-03,0,
kanu coffee,2025-08-28,0,
kanu coffee,2025-08-29,0,
kanu coffee,2025-08-30,0,
kanu coffee,2025-08-31,0,
kanu coffee,2025-09-01,0,
kanu coffee,2025-09-02,1,inyoung.
kanu coffee,2025-09-03,0,
kooksoondang,2025-08-28,0,
kooksoondang,2025-08-29,0,
kooksoondang,2025-08-30,0,
kooksoondang,2025-08-31,0,
kooksoondang,2025-09-01,0,
kooksoondang,2025-09-02,0,
kooksoondang,2025-09-03,0,
kyochon,2025-08-28,2,Sky Jinsei no Tabi;쌍비SSANGBI
kyochon,2025-08-29,1,Kevin Patrick 케빈패트릭
kyochon,2025-08-30,2,GG;Alda Havilah
kyochon,2025-08-31,3,Felicia Ngadiman;sarah hanifah;HuiRu xue
kyochon,2025-09-01,1,Oopsie Poopsie
kyochon,2025-09-02,0,
kyochon,2025-09-03,0,
lotte choco pie,2025-08-28,8,Aravind Gamer Yt ;pooja's diary ;qawrt vlogs 
lotte choco pie,2025-08-29,5,Anjali Cooking & Art ;cooking with adiba ;cookies and crunch
lotte choco pie,2025-08-30,12,Anjali Cooking & Art ;Shoaib Lollipops Unboxing ;@143 __ status8
lotte choco pie,2025-08-31,8,Lotte India;Tasty food with shova;Candy Creations 
lotte choco pie,2025-09-01,3,JAPAN TREATS; arts and cooking;Mohammad 
lotte choco pie,2025-09-02,3,Harinder Kaur Ladhar;Nida ki duniya ;viral trending Candy 
lotte choco pie,2025-09-03,0,
lotte mart,2025-08-28,6,LOTTE Mart ONLINE;LOTTE MART Vietnam;Hệ Thống Xe Máy Hồng Phúc - Thiên Phúc
lotte mart,2025-08-29,5,Nhà Có 3 Anh Em Mía-Bắp-Nấm;Anarchist Cats;Hệ Thống Xe Máy Hồng Phúc - Thiên Phúc
lotte mart,2025-08-30,6,KOKO ASUN 楊 道 純 💎;Teresiapara;DJ Travels
lotte mart,2025-08-31,1,Jess
lotte mart,2025-09-01,9,Niskala Avian putra abiwiksana;Nhà Đất Quang Minh Bán Nhà Gò Vấp - Tân Bình.;Nguyễn Anh Tú
lotte mart,2025-09-02,9,김Sunil;Chanzharirie Murka;finasharonn
lotte mart,2025-09-03,0,
maxim coffee,2025-08-28,0,
maxim coffee,2025-08-29,0,
maxim coffee,2025-08-30,0,
maxim coffee,2025-08-31,1,Buzzzz shorts
maxim coffee,2025-09-01,0,
maxim coffee,2025-09-02,0,
maxim coffee,2025-09-03,0,
melona,2025-08-28,2,Newborn Monkey 2025;Strahd Creative
melona,2025-08-29,1,Strahd Creative
melona,2025-08-30,5,lan turşuhan rızzık var;Shubham Prajapati;BICOLANANG ALLEY
melona,2025-08-31,6,tm34k;Green Tile Social Club;JGS
melona,2025-09-01,4,Yusuf amp 1903;Rahul Kamat;ChariboPaper
melona,2025-09-02,3,André Santtos Junior ;FutureBot
melona,2025-09-03,0,
milkis,2025-08-28,1,★𝓜𝓲𝓵𝓴𝓲𝓼★
milkis,2025-08-29,1,Energation Getränke aus aller Welt
milkis,2025-08-30,3,Ummati Spread love;Sonavith Media;ДИЛШОД 21 🥷🏻
milkis,2025-08-31,0,
milkis,2025-09-01,3,☆Milkis☆;☆Milkis ☆;chillmart
milkis,2025-09-02,3,ASHKAN SHOW;Карамелька Олівія;★𝓜𝓲𝓵𝓴𝓲𝓼★
milkis,2025-09-03,0,
nasoya,2025-08-28,0,
nasoya,2025-08-29,0,
nasoya,2025-08-30,0,
nasoya,2025-08-31,0,
nasoya,2025-09-01,0,
nasoya,2025-09-02,0,
nasoya,2025-09-03,0,
neoguri,2025-08-28,4,K Trend Box;Cixi;tastyopen 입맛열기
neoguri,2025-08-29,1,서수 ASMR SEOSU
neoguri,2025-08-30,2,Mini 🍀;서수 ASMR SEOSU
neoguri,2025-08-31,1,JAMES
neoguri,2025-09-01,4,𝓒𝓸𝓶𝓻𝓪𝓭𝓮 𝓐𝓻𝓲 🇰🇵;queenzgranny;คุ้มค่าทุกการใช้จ่ายผ่านร้านค้าออนไลน์
neoguri,2025-09-02,3,Olivia Gali;[Soyoubi] 소유비;푸드가이 Foodguy
neoguri,2025-09-03,0,
nongshim,2025-08-28,13,Gentle KIM[젠틀킴];Vela;Variation Collector
nongshim,2025-08-29,10,Snack-K;Loleventvods - LoL Esports: VODs & Montages;Challenger LoL Replays & VODS
nongshim,2025-08-30,6,TEEBeats;Hoa-ASMR;Immy
nongshim,2025-08-31,11,Loleventvods - LoL Esports: VODs & Montages;Tram Wrap;Christiana M
nongshim,2025-09-01,11,คุ้มค่าทุกการใช้จ่ายผ่านร้านค้าออนไลน์;ayesha khan;KPop Demon Hunters Daily
nongshim,2025-09-02,12,FEBET Thể Thao;NONGSHIM Malaysia;WATT Crazy Kyle's Cooking
nongshim,2025-09-03,1,Keshav vlogs
orion choco pie,2025-08-28,2,Little Candy World ;럭키스코딩 LuckyScoding
orion choco pie,2025-08-29,2,Hà Kiều ;Kids Shorts Review
orion choco pie,2025-08-30,0,
orion choco pie,2025-08-31,0,
orion choco pie,2025-09-01,0,
orion choco pie,2025-09-02,0,
orion choco pie,2025-09-03,0,
otoki,2025-08-28,1,Bls_bablu143
otoki,2025-08-29,2,It's Binh (Been) Reviewed & More;It's Binh (Been) Repaired & Everything Reviewed
otoki,2025-08-30,2,빵래;ChocoPro wrestling
otoki,2025-08-31,3,3rd And Pearl;EnjoyWalking;Thomas Ruster
otoki,2025-09-01,2,Otoki Music ;라면정복자피키(라면 평론가 지영준)
otoki,2025-09-02,1,김재인
otoki,2025-09-03,0,
ottogi,2025-08-28,3,Sarang_Bap 밥사랑;황루니;Freespirit
ottogi,2025-08-29,1,Appa's Diary
ottogi,2025-08-30,1,오늘라면 Today's Ramyeon
ottogi,2025-08-31,0,
ottogi,2025-09-01,1,황루니
ottogi,2025-09-02,2,EIKEIKEAT;Diana Sesarin
ottogi,2025-09-03,0,
paik's coffee,2025-08-28,0,
paik's coffee,2025-08-29,0,
paik's coffee,2025-08-30,0,
paik's coffee,2025-08-31,0,
paik's coffee,2025-09-01,0,
paik's coffee,2025-09-02,0,
paik's coffee,2025-09-03,0,
pepero,2025-08-28,10,El lado izquierdo España;CharrieTv;GirlWithLuv 小詩
pepero,2025-08-29,14,CharrieTv;I Am Groot Analyzes & Moments;El lado izquierdo España
pepero,2025-08-30,9,Hyunjin's Universe;amber(^o^);Its_putri💞
pepero,2025-08-31,2,Alaina & Sophia 🎀;CharrieTv
pepero,2025-09-01,6,The Diya Diaries ;J. Saianshi;LDT talks
pepero,2025-09-02,3,Mr Boogie;Lu with seven;Foodbawl
pepero,2025-09-03,0,
plantspired,2025-08-28,0,
plantspired,2025-08-29,0,
plantspired,2025-08-30,0,
plantspired,2025-08-31,0,
plantspired,2025-09-01,1,HOME GARDEN AND FASHION 
plantspired,2025-09-02,0,
plantspired,2025-09-03,0,
pulmuone,2025-08-28,0,
pulmuone,2025-08-29,0,
pulmuone,2025-08-30,0,
pulmuone,2025-08-31,0,
pulmuone,2025-09-01,0,
pulmuone,2025-09-02,1,KhoiLaa -With me here
pulmuone,2025-09-03,0,
red baron,2025-08-28,19,AKIK BATU PERMATA 4.0;Jessica Harper;Chimnonso Asiegbu Rocks 1943
red baron,2025-08-29,8,Aaron's Trendy Eats;Fridays Chop Shop;Unboxin' Doxin
red baron,2025-08-30,19,shela gemstone;SpeedRipper19;KANG HAJI PERMATA 
red baron,2025-08-31,12,GigaWerts;KΣП ƬΉΣ ΣƬ;LancelotChan
red baron,2025-09-01,12,Blufftonite Video;Haomaru Games;History Inside
red baron,2025-09-02,7,Alice Goss Travel;MadHouse 3D Modeling;Major Tom
red baron,2025-09-03,0,
samlip,2025-08-28,0,
samlip,2025-08-29,1,C-StoreWorker
samlip,2025-08-30,0,
samlip,2025-08-31,1,C-StoreWorker
samlip,2025-09-01,0,
samlip,2025-09-02,0,
samlip,2025-09-03,0,
samyang,2025-08-28,64,ReetPete;MyungJa C;onlyoliver
samyang,2025-08-29,60,Study Nida; 🍳yumyumyanie;KakiShopee
samyang,2025-08-30,50,Odil_Operator7773;I love kittens and puppies;Elfie Studios
samyang,2025-08-31,45,Gaby Jovita;No Face Just Taste;ARA AND FAMILY
samyang,2025-09-01,51,Muthukumaran Camera;SceltaTop;araaa Adaradwizhafira
samyang,2025-09-02,61,I'ts Mixee;KONDOR-Hunter;Gaby Jovita
samyang,2025-09-03,0,
sempio,2025-08-28,4,GOSSIP ITALIA 24;IA DETECTIVE ITALIA;Scopri i segreti dei personaggi famosi
sempio,2025-08-29,9,Davide B;GOSSIP OGGI NEWS;Dentro il Gossip
sempio,2025-08-30,2,Scopri i segreti dei personaggi famosi;Dentro il Gossip
sempio,2025-08-31,1,Scopri i segreti dei personaggi famosi
sempio,2025-09-01,4,Storie & Cronaca;IL CANALE DEL LATO OSCURO;Sergio Spinnato
sempio,2025-09-02,6,Drama & Scoop;Delitti Insoluti;Scopri i segreti dei personaggi famosi
sempio,2025-09-03,0,
shin ramen,2025-08-28,11,Randy food;K Trend Box;Susan♡
shin ramen,2025-08-29,14,Bubble Maan;Saha Family In London;NomNomMomz
shin ramen,2025-08-30,6,Immy;Mahnoor Lifestyle ;Randy food
shin ramen,2025-08-31,10,The Petite Mama;Vike~ASMR;06skfamily_vlogs
shin ramen,2025-09-01,9,𝑎𝑒𝑠𝑡ℎ𝑒𝑡𝑖𝑐_𝑏𝑙𝑖𝑛𝑘 ;Wana usa aha ;cookingbylynn
shin ramen,2025-09-02,9,irene kim 김예린;Tori;Simran Achari
shin ramen,2025-09-03,0,
shin ramyun,2025-08-28,17,Costco Stans;OG Hood Food Review ;RamenClub
shin ramyun,2025-08-29,13,JamesFoodandLife94;Coayu;Bubble Maan
shin ramyun,2025-08-30,8,Foodieries;MyJourney;Viral-Experiencer
shin ramyun,2025-08-31,11,Alicia’s Kitchen家常快手菜;Glitter_gun;Jhoya Vlog
shin ramyun,2025-09-01,14,ayesha khan;Supermercado Otugui;double_E
shin ramyun,2025-09-02,14,황루니;크로스보더_경계를 넘어;@el_aprendizz
shin ramyun,2025-09-03,0,
soon hari,2025-08-28,0,
soon hari,2025-08-29,0,
soon hari,2025-08-30,0,
soon hari,2025-08-31,1,Oneway
soon hari,2025-09-01,0,
soon hari,2025-09-02,0,
soon hari,2025-09-03,0,
starkist,2025-08-28,2,That's life;Chell Be Chell T.V.
starkist,2025-08-29,1,Hogs Fan 4 Life
starkist,2025-08-30,1,Fake Commercials Ent
starkist,2025-08-31,0,
starkist,2025-09-01,0,
starkist,2025-09-02,2,OnlineDealDigger;Dana Stiggers Ramsey
starkist,2025-09-03,0,
terra beer,2025-08-28,0,
terra beer,2025-08-29,0,
terra beer,2025-08-30,0,
terra beer,2025-08-31,0,
terra beer,2025-09-01,0,
terra beer,2025-09-02,0,
terra beer,2025-09-03,0,
toomba,2025-08-28,1,Sahiblive
toomba,2025-08-29,1,Vaishali Khurana 🌹
toomba,2025-08-30,1,Mahnoor Lifestyle 
toomba,2025-08-31,0,
toomba,2025-09-01,2,Lucas Hittesdorf;야 식 
toomba,2025-09-02,0,
toomba,2025-09-03,0,
turtle chips,2025-08-28,1,JONNY BLITZ FOOD REVIEW
turtle chips,2025-08-29,0,
turtle chips,2025-08-30,4,X$akaSmerfderty;Andy Shen;Hiprockdiva
turtle chips,2025-08-31,0,
turtle chips,2025-09-01,1,Tom Wang
turtle chips,2025-09-02,1,Uncle Ed
turtle chips,2025-09-03,0,
